,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
/mobileye/42/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/43/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/44/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/45/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/46/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/47/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/48/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/49/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/50/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/51/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/vehicle/acceleration/accel/linear/y,0.992,1.0,0.992,0.996,1.0,0.996,1.0,0.996,1.0,1.0,1.0,0.9943,1.0,1.0,0.997,-190.78869999999998
/vehicle/acceleration/accel/linear/x,0.992,1.0,0.992,0.996,1.0,0.996,1.0,0.996,1.0,1.0,1.0,0.9943,1.0,1.0,0.997,-190.78869999999998
/vehicle/acceleration/accel/linear/z,0.992,1.0,0.992,0.996,1.0,0.996,1.0,0.996,1.0,1.0,1.0,0.9943,1.0,1.0,0.997,-190.78869999999998
/vehicle/acceleration/accel/angular/y,0.992,1.0,0.992,0.996,1.0,0.996,1.0,0.996,1.0,1.0,1.0,0.9943,1.0,1.0,0.997,-190.78869999999998
/vehicle/acceleration/accel/angular/x,0.992,1.0,0.992,0.996,1.0,0.996,1.0,0.996,1.0,1.0,1.0,0.9943,1.0,1.0,0.997,-190.78869999999998
/vehicle/acceleration/accel/angular/z,0.992,1.0,0.992,0.996,1.0,0.996,1.0,0.996,1.0,1.0,1.0,0.9943,1.0,1.0,0.997,-190.78869999999998
/vehicle/analog/back_signal/data,1.0,1.0,1.0,0.996,1.0,1.0,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,0.9993,-190.7864
/vehicle/analog/brake_signal/data,1.0,1.0,1.0,0.996,1.0,1.0,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,0.9993,-190.7864
/vehicle/analog/speed_pulse/data,1.0,1.0,1.0,0.992,1.0,1.0,1.0,0.996,1.0,0.996,1.0,1.0,1.0,1.0,0.9985,-190.78719999999998
/vehicle/analog/turn_signal/data,1.0,1.0,1.0,0.996,1.0,1.0,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,0.9993,-190.7864
/vehicle/extracted_can/brake_pedal_hydraulic/data,0.755,0.948,0.34,0.84,0.9173,0.832,0.9474,0.972,0.9583,0.8313,0.7581,0.9714,0.8977,0.7447,0.8108,-190.9749
/vehicle/extracted_can/gas_pedal_position/data,0.249,0.76,0.824,0.788,0.8947,0.792,0.9298,0.66,0.9375,0.8795,0.9476,0.8857,0.8977,0.8617,0.7765,-191.0092
/vehicle/extracted_can/headlight_state/data,0.996,0.992,0.996,0.992,0.9925,0.984,0.9474,0.984,0.9583,0.996,0.9879,1.0,0.9886,0.9947,0.9903,-190.7954
