,/driver/blink/data,/driver/face_pitch/data,/driver/face_roll/data,/driver/face_yaw/data,/mobileye/01/data,/mobileye/02/data,/mobileye/03/data,/mobileye/04/data,/mobileye/06/data,/mobileye/07/data,/mobileye/08/data,/mobileye/09/data,/mobileye/10/data,/mobileye/11/data,/mobileye/12/data,/mobileye/13/data,/mobileye/14/data,/mobileye/15/data,/mobileye/16/data,/mobileye/17/data,/mobileye/18/data,/mobileye/19/data,/mobileye/20/data,/mobileye/21/data,/mobileye/22/data,/mobileye/23/data,/mobileye/24/data,/mobileye/25/data,/mobileye/26/data,/mobileye/27/data,/mobileye/28/data,/mobileye/29/data,/mobileye/30/data,/mobileye/31/data,/mobileye/32/data,/mobileye/33/data,/mobileye/34/data,/mobileye/35/data,/vehicle/acceleration/accel/linear/y,/vehicle/acceleration/accel/linear/x,/vehicle/acceleration/accel/linear/z,/vehicle/acceleration/accel/angular/y,/vehicle/acceleration/accel/angular/x,/vehicle/acceleration/accel/angular/z,/vehicle/analog/back_signal/data,/vehicle/analog/brake_signal/data,/vehicle/analog/speed_pulse/data,/vehicle/analog/turn_signal/data,/vehicle/extracted_can/brake_pedal_hydraulic/data,/vehicle/extracted_can/gas_pedal_position/data,/vehicle/extracted_can/headlight_state/data,/vehicle/extracted_can/seat_belt_state/data,/vehicle/extracted_can/speed/data,/vehicle/extracted_can/steering_angle/data,/vehicle/gnss/altitude,/vehicle/gnss/latitude,/vehicle/gnss/longitude,/vehicle/gnss/position_covariance,/vehicle/gnss/position_covariance_type,/vehicle/gnss/status
2017-01-22 08:39:58.650000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,8.0,0.0,,,,,,,,,,,,
2017-01-22 08:39:58.660000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335999995470047,0.0,,,,-99.0,,,,,,
2017-01-22 08:39:58.680000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335999995470047,0.0,,,,-99.0,,,,,,
2017-01-22 08:39:58.700000047,,,,,2.0,2.0,-1.8600000143051147,0.9599999785423279,0.0061855316162109375,0.0,-0.12484607845544815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.5625,-2048.0,250.0,0.0,8.0,44.5625,5.375,0.0,0.0,10.75,0.0,3.0,0.0,-1.0,1.399999976158142,254.0,2.0,-2048.0,14.9399995803833,-6.929999828338623,-0.117,-0.07,1.023,0.0,0.0,0.0,False,True,8.0,0.0,,0.0,,,,-102.0,,,,,,
2017-01-22 08:39:58.720000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335999995470047,0.0,,,,-105.0,,,,,,
2017-01-22 08:39:58.740000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335999995470047,0.0,,,,-106.5,,,,,,
2017-01-22 08:39:58.750000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,7.0,0.0,,,,,,,,,,,,
2017-01-22 08:39:58.759999990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335999995470047,,,,,-109.5,,,,,,
2017-01-22 08:39:58.779999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335999995470047,0.0,,,,-111.0,,,,,,
2017-01-22 08:39:58.799999952,,,,,2.0,2.0,-1.8799999952316284,0.9599999785423279,0.00571441650390625,0.0,-0.12484607845544815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.375,-2048.0,250.0,0.0,8.0,45.375,5.625,0.0,0.0,10.875,0.0,3.0,0.0,-1.0,1.399999976158142,254.0,2.0,-2048.0,14.970000267028809,-7.019999980926514,-0.078,0.035,1.059,0.0,0.0,0.0,False,True,8.0,0.0,0.31200000643730164,0.0,,,6.0,-115.5,,,,,,
2017-01-22 08:39:58.819999933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,-118.5,,,,,,
2017-01-22 08:39:58.839999914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31200000643730164,0.0,,,,-120.0,,,,,,
2017-01-22 08:39:58.849999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,8.0,0.0,,,,,,,,,,,,
2017-01-22 08:39:58.859999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2879999876022339,0.0,,,,-124.5,,,,,,
2017-01-22 08:39:58.880000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2879999876022339,0.0,,,,-127.5,,,,,,
2017-01-22 08:39:58.900000095,,,,,2.0,2.0,-1.8799999952316284,0.9599999785423279,0.00533294677734375,0.0,-0.12484607845544815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.1875,-2048.0,250.0,0.0,8.0,46.1875,5.8125,0.0,0.0,10.9375,0.0,3.0,0.0,-1.0,1.399999976158142,254.0,2.0,-2048.0,14.970000267028809,-7.199999809265137,-0.152,-0.059,1.008,0.0,0.0,0.0,False,True,7.0,0.0,0.2639999985694885,,,,,-127.5,,,,,,
2017-01-22 08:39:58.920000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,-129.0,,,,,,
2017-01-22 08:39:58.940000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25200000405311584,0.0,,False,,-130.5,,,,,,
2017-01-22 08:39:58.950000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,7.0,2.0,,,,,,,,,,,,
2017-01-22 08:39:58.960000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23999999463558197,0.0,,,,-130.5,,,,,,
